case_id,summary,side
1,"The case involves an appeal by special leave against an order of the High Court at Patna, which affirmed the conviction of the appellant by the Additional Sessions Judge, Arrah, under Section 147 of the Indian Penal Code (IPC). The appellant, along with 13 others, was charged with being a member of an unlawful assembly with the common object of dispossessing one Chulhan Tewari (the complainant) and assaulting and murdering one Nasiba Ahir and others. The prosecution alleged that the appellant led a group armed with a gun and lathis to dispossess the complainant of a piece of land. The appellant fired three shots from the gun, injuring several individuals, including Nasiba Ahir who later died in the hospital. The Additional Sessions Judge found that the apparent title to the land was in dispute and that neither party could claim the right of private defense to property. The judge also found that while the appellant's party used a gun, the complainant's party used lathis or brickbats, resulting in injuries on both sides. The judge convicted the appellant under Section 304, Part II, read with Section 149, and sentenced him to five years of rigorous imprisonment. The judge also found the appellant guilty of rioting under Section 147 but did not impose a separate sentence for that offense. The other 13 individuals charged were acquitted due to lack of proper identification. The appellant's petition for special leave to appeal was admitted by the Supreme Court, which considered three grounds: (1) whether there was an unlawful assembly, (2) whether the possession of the complainant was established, and (3) whether any member of the appellant's party was armed with a gun. The Supreme Court found that there was sufficient evidence to establish the existence of an unlawful assembly. However, it remanded the case to the High Court for rehearing because the High Court did not apply itself seriously to the question of possession, which was crucial to the case. The Supreme Court held that a clear finding on possession was necessary to determine the aggressor in the incident. In conclusion, the Supreme Court set aside the conviction and sentence of the appellant and remanded the case to the High Court for rehearing and disposal according to law, with a direction to record a definite finding on the question of possession.",1
2,"This case involves an appeal under Article 132(1) of the Constitution against a judgment and order of the Bombay High Court dated 1st September 1950, in Criminal Application No. 807 of 1950. The respondent was detained under the Preventive Detention Act (IV of 1950) on grounds of promoting acts of sabotage on railway and railway property in Greater Bombay. The respondent filed a habeas corpus petition contending that the government's aim was to lock up active trade unionists and that the grounds for detention were vague and did not mention specifics of the alleged sabotage. The High Court ordered the respondent's release, finding the grounds for detention to be insufficient. The appellant, the Attorney-General, appealed this decision. The Supreme Court, in its judgment delivered by Kania C.J., held that preventive detention orders must be based on the satisfaction of the Central or State Government and that the grounds, while not required to be exhaustive, must be connected in some manner with the objects to be prevented. The Court stated that it was not for the court to substitute its decision for that of the government, as long as the grounds were such that a rational human being could consider them connected to the objects to be prevented.",0
3,"This case involves an appeal by the State of West Bengal against a judgment of a Full Bench of the High Court of Judicature at Calcutta, which quashed the conviction of the respondent by the Special Court established under the West Bengal Special Courts Ordinance, 1949. The respondent and 49 others were charged with various offences allegedly committed during a raid on a factory known as the Jessop Factory at Dum Dum. They were convicted and sentenced by the Special Court, but the respondent challenged the jurisdiction of the Special Court, arguing that the enabling provision under which the case was sent for trial was unconstitutional and violated the equal protection of laws guaranteed by Article 14 of the Constitution. The High Court, in a Full Bench decision, quashed the conviction and directed a new trial. The State of West Bengal appealed this decision. The Supreme Court noted that the West Bengal Special Courts Act, 1950, was enacted to provide for speedier trial of certain offences, and section 5 of the Act empowered the State Government to constitute Special Courts. The respondent relied on the US Supreme Court decisions in Truax v. Corrigan and Yick Wo v. Hopkins to argue that the Act violated equal protection under the law. However, the Supreme Court held that the Act did not violate Article 14, as it was applicable to a class of persons and was not administered in a discriminatory manner. The Court emphasized that the legislation aimed at preventing heinous crimes must be interpreted in a manner that the common man can understand and appreciate, to ensure faith and confidence in the legal system. The Court concluded that the Act did not violate the Constitution and dismissed the appeal, upholding the validity of the West Bengal Special Courts Act, 1950.",1
4," This	 is  the  ordinary  accepted
meaning	 of  the  word "" decree "" and  if  that	 meaning  is
attributed to the word "" decree "" occurring in section 18(1)
then clearly it cannot cover an order for possession  passed
under section 43 of the Presidency Small Cause Courts Act on
an application made under section 41 of that Act.
It is, however, urged that the word "" decree"" in -section 18
(1)  of	 Act XVII of 1950 should not be read in	 its  strict
sense.	It is said that although the word ""suit""  ordinarily
means  a proceeding instituted by a plaint, it is also	used
in  a wider sense so as to cover proceedings which  are	 not
instituted  by a plaint and, therefore., an adjudication  in
those  proceedings  which are also suits  in  that  extended
meaning	 may well be said to be a "" decree"".   Reference  is
made to the explanation of sub-section (1) of section 12  of
Act  XVII  of  1950, which expressly provides  that  in	 the
proviso to sub-section (1) the term ""suit"" does not  include
proceeding  under Chapter VII of the Presidency Small  Cause
Courts	Act,  1882, and it is urged  that  this	 explanation
inferentially means that the word "" suit "" occurring in	 the
other sections of Act XVII of 1950 may include a  proceeding
under  Chapter VII of the Presidency Small Cause Courts	 Act
and,  therefore, an order made on such a proceeding  may  be
described  as  an adjudication in a suit and,  therefore,  a
decree.	  It is not quite clear how this inference, even  if
it  can	 be  properly drawn, can have  any  bearing  on	 the
construction  of  the word ""decree"" in	sub-section  (1)  of
section	 18 of the Act XVII of 1960 where the word "" suit  ""

has  made a mistake.  The Court must proceed on the  footing
that  the  Legislature intended what it has said.   Even  if
there  is  some	 defect	 in  the  phraseology  used  by	 the
Legislature the Court cannot, as pointed out in Crawford  v.
Spooner(1),  aid the Legislature's defective phrasing of  an
Act or add and amend or, by   construction,	make	  up
deficiencies which are left in	   the	 Act.	Even   where
there is a casus omissus, it is, as	said by Lord Russell
of Killowen in Hansraj Gupta v.	   Official  Liquidator	  of
Dehra  Dun-Mussoorie  Electric Tramway Co.,  Ltd.  (2),	 for
others than the Courts to remedy the defect.  In our view it
is  not right to give to the word "" decree"" a meaning  other
than its ordinary accepted meaning and we are bound to	say,
in  spite  of our profound respect for the opinions  of	 the
learned	 Judges	 who decided them, that	 the  several  cases
relied on by the respondent were not correctly decided.
Reference was made, in, course of argument, to section 6  of
the  West Bengal Act LXII of 1950.  That section  refers  to
orders or decrees made between the commencement of Act	XVII
of 1950 and Act LXII of 1950, i.e., between the 30th  March,
1950,  and  the	 30th November, 1950, and  cannot  have	 any
application to the order for possession made in this case on
the 27th February, 1950.

For reasons stated above this appeal must be allowed and the
order  made  by the High Court should be set aside  and	 the
respondents' application under section 18 (1) of Act XVII of
1950  should be dismissed and we order accordingly.  In	 the
circumstances  of  this case we make no order  as  to  costs
except	that  the  parties  should  bear  their	 own   costs
throughout.

Appeal allowed.
",1
5,"The case involves four consolidated appeals against a judgment of the High Court of Punjab regarding income-tax investigation proceedings. The appellants, partners in a firm, claimed that the investigation extended beyond the permissible period. They filed petitions under articles 226 and 227 of the Constitution, but no order was passed due to pending law changes. The investigation was challenged on various grounds, including the death of a partner, the addition of a new partner, and the dissolution of the original firm. The appellants sought relief under the Taxation on Income (Investigation Commission) Act, 1947, but the High Court dismissed the petitions. The Supreme Court upheld the High Court's decision, stating that the jurisdiction under article 226 is discretionary and the remedy provided by the Act should be exhausted first.",0
6,"The petitioner, a student at Mahatma Gandhi Memorial Medical College in Indore, challenged the institution's rule that imposed a capitation fee on students not resident in Madhya Bharat while exempting residents. He argued that the rule violated articles 14 and 15(1) of the Constitution. The respondent, the State of Madhya Bharat, contended that the rule was based on residence, not place of birth, and was thus not discriminatory. The Supreme Court held that the rule, as modified in 1952, did not violate article 15(1) as it was based on residence, not place of birth. However, the Court found that the rule still discriminated against the petitioner based on regional domicile, which was not a reasonable ground for classification. The Court allowed the petition, holding that the State could not levy capitation fees on the petitioner based on the rule.",1
7,"These appeals stem from an order of discharge issued by the Subordinate Judge-Magistrate of Dhanbad under section 494 of the Code of Criminal Procedure, allowing the withdrawal of the Public Prosecutor from a prosecution against Mahesh Desai, one of the accused in a murder case. The prosecution alleged that Desai abetted the murder of Nand Kumar Chaubey during a riot. The Public Prosecutor sought withdrawal of the case against Desai, citing lack of evidence to establish a prima facie case. The Magistrate granted the withdrawal, which was upheld by the Sessions Judge on revision. However, the Chief Justice of the High Court set aside the withdrawal, directing the Magistrate to record evidence and determine if a prima facie case existed against Desai. The State challenged this decision, arguing that the Chief Justice's view was based on an erroneous understanding of the law.",1
8,"The appellants, Maitland Craig Lubricants Ltd. and H. J. Leach, filed a suit in the Bombay High Court for damages for conversion against the respondents. The suit was based on an agreement between Leach and the respondents, under which Leach was given an exclusive right to sell lubricants within certain territories. The respondents cancelled the agreement, alleging that Leach had assigned his rights to the first appellant without their consent. The respondents refused to deliver goods ordered by them on behalf of the appellants after the cancellation. The trial court decreed the suit, but the appellate court held that the title to the goods vested in the respondents until they endorsed the shipping documents in favor of the appellants, which had not been done. The appellate court allowed the appeal and dismissed the suit.",0
9,"M. K. Nambiar and G. Gopalakrishnan, representing petitioners in Petition No. 91 of 1957, argued that the Working Journalists Act, 1955, is unconstitutional as it violates fundamental rights under Articles 19 (1) (a), 19 (1) (g), 14, and 32 of the Constitution. They contended that the Act restricts freedom of speech and expression, impairs the ability of the press to function, and places unreasonable restraints on the freedom to carry on business.	",1
10,"The case involved the validity of the scheme of nationalization of the State Transport Service formulated by the State Government and the consequential orders made by it. The court considered whether the Uttar Pradesh Transport Service (Development) Act, 1955, was void under Art. 254(1) of the Constitution after the Motor Vehicles (Amendment) Act, 1956, was passed. The court also discussed the adequacy of compensation provided under the Act.",0
