Scenario,Law,Similarity
"I purchased a new laptop online, but it arrived with a broken screen. The seller refuses to replace it or refund my money. What can I do?","The Consumer Protection Act, 2019 - Provides consumer rights and redressal mechanisms for faulty products or services.",1
"The old woman died, and the prosecution alleged that the Appellant caused her death through physical assault, leading to fatal chest injuries.","Indian Penal Code (IPC) <br> This primary criminal code of India covers various offenses and their corresponding punishments. Here, relevant sections are: * Murder: Defined as the unlawful killing of another human being with malice aforethought. * Culpable homicide: Killing of another person without lawful justification or excuse and without the intention to cause death. * Causing hurt: Intentionally or recklessly causing hurt to another person.",1
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Information Technology Act, 2000 (Sections 66A & 66D) - Criminalizes the sending of offensive messages through a computer or other communication devices.",1
"My neighbor's tree branches are overhanging onto my property, dropping leaves and debris. Can I cut them back?","The Indian Penal Code (IPC), 1860 (Section 426) - Whoever commits mischief shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.",0
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Easements Act, 1882 (Section 13) Where one person transfers or bequeaths immovable property to another, (a)if an easement in other immovable property of the transferor or testator is necessary for enjoying the subject of the transfer or bequest, the transferee or legatee shall be entitled to such easement;",1
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Penal Code (IPC), 1860 (Section 268) A person is guilty of a public nuisance who does any act or is guilty of an illegal omission which causes any common injury, danger or annoyance to the public or to the people in general who dwell or occupy property in the vicinity, or which must necessarily cause injury, obstruction, danger or annoyance to persons who may have occasion to use any public right.",1
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Penal Code (IPC), 1860 (Section 441): Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, 
or having lawfully entered into or upon such property, unlawfully remains there with intent thereby to intimidate, insult or annoy any such person, or with intent to commit an offence, 
is said to commit “criminal trespass”.",0
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Penal Code (IPC), 1860 (Section 426): Whoever commits mischief shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.",0
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Information Technology Act, 2000 (Sections 66A & 66D): criminalises the sending of offensive messages through a computer or other communication devices..",1
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement.",1
"After winning a lawsuit against a contractor for non-payment of dues, a homeowner seeks to recover the awarded amount through legal means. The homeowner initiates the process of executing the court's decree, following the procedures outlined in the civil procedure code.","Code of Civil Procedure, 1908 - Governs the procedure for civil cases in India, including the execution of decrees.",1
"""In execution of that decree the Munsif issued a warrant for the attachment of the judgment debtor's property.""","Code of Civil Procedure, 1908 - Specifies the process for executing decrees, including the attachment of property.",1
"""The amin to whom the said warrant was entrusted attached, inter alia, three buffaloes and two cows, which were in the house of the judgment debtor, as his property.""","Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",0
"In a rural village in India, a young girl named Savitri, aged 14, is being pressured by her family to marry an older man. Savitri is unsure about the marriage and is seeking advice on her rights and the legal implications of marrying at such a young age.",Child Marriage Restraint Act (1929): This act set minimum legal ages for marriage in India. Its crucial since Savitri's age is potentially under consideration within the scenario.,1
A couple from different religious backgrounds decides to marry under a civil law to have a legally recognized marriage without the need for religious ceremonies. They follow the registration procedures outlined in the act to solemnize their marriage legally.,"Special Marriage Act (1954): Provides a framework for civil marriages in India, including registration procedures. This is directly relevant as they appear to be attempting a legally recognized marriage.",1
A couple from different religious backgrounds decides to marry under a civil law to have a legally recognized marriage without the need for religious ceremonies. They follow the registration procedures outlined in the act to solemnize their marriage legally.,The Information Technology Act (2000): Deals with Information Technology related offenses and electronic transactions. ,0
"A group of villagers in a remote area of India is facing frequent power outages and unreliable electricity supply. They are concerned about the quality of service provided by the local electricity distribution company and are seeking advice on how to improve their access to reliable electricity.




A group of villagers in a remote area of India is facing frequent power outages and unreliable electricity supply. They are concerned about the quality of service provided by the local electricity distribution company and are seeking advice on how to improve their access to reliable electricity.




A group of villagers in a remote area of India is facing frequent power outages and unreliable electricity supply. They are concerned about the quality of service provided by the local electricity distribution company and are seeking advice on how to improve their access to reliable electricity.




","Electricity Act, 2003 - Governs the generation, transmission, distribution, and trading of electricity in India.",1
A construction company in India is planning to build a new factory and is interested in setting up its own electricity generation unit. They are seeking guidance on the legal requirements and procedures,"Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",1
"In a rural village in India, a young girl named Savitri, aged 14, is being pressured by her family to marry an older man. Savitri is unsure about the marriage and is seeking advice on her rights and the legal implications of marrying at such a young age.","The Narcotic Drugs and Psychotropic Substances Act (1985): Regulates the production, possession, sale, consumption, and import/export of narcotic drugs and psychotropic substances. This law was enacted much later than the scenario (1960) and is not applicable.",0
"A man enters a shop and steals a valuable item, intending to sell it for profit. He is caught on CCTV camera and identified by the shop owner.","Indian Penal Code (1860), Sections related to Theft (e.g., Section 378): This defines the offense of theft in India, which could apply if the meter tampering is done with the intent to dishonestly use the electricity without proper payment.",1
"A businessman approaches a bank for a loan and provides forged documents showing inflated assets to secure a higher loan amount. The bank, unaware of the forgery, approves the loan based on the false information. ","Indian Penal Code (1860): This act defines various criminal offenses, including: * Section 420 (Cheating): Covers acts of deceiving and inducing someone to deliver property or any valuable thing. * Section 465 (Forgery): Defines and penalizes forging of documents and using them as genuine. * Section 467 (Forgery of valuable security): Specifically concerns forging of documents like licenses with intent to use them fraudulently.",1
"In a factory in India, workers are required to work long hours without adequate breaks or safety measures. Several workers have fallen ill due to the unhealthy working conditions, and some have even been injured due to lack of safety equipment. ","Factories Act, 1948: This act regulates the working conditions in factories in India. It covers aspects such as health, safety, welfare, working hours, and leave policies for workers in factories.",1
"A group of individuals is found in possession of unlicensed firearms during a routine police check in a rural area. The firearms are discovered to be used for hunting purposes, but the individuals do not have the required licenses.","Arms Act, 1959: This act regulates the possession, use, and sale of firearms and ammunition in India.",1
"In the 1960s, a group of individuals conspires to commit fraud by forging physical documents related to property ownership. They create fake land deeds and sale agreements to deceive buyers into purchasing property that does not belong to them. The fraud is uncovered, and the individuals are charged under the relevant sections of the Indian Penal Code for forgery and cheating.",Information Technology Act (2000): Focuses on Information Technology related offenses and electronic transactions. The scenario predates this law (1959-1961) and doesn't involve electronic means of forgery or communication.,0
