Scenario,Law,Similarity
"I purchased a new laptop online, but it arrived with a broken screen. The seller refuses to replace it or refund my money. What can I do?","The Consumer Protection Act, 2019 - Provides consumer rights and redressal mechanisms for faulty products or services.",1
"The old woman died, and the prosecution alleged that the Appellant caused her death through physical assault, leading to fatal chest injuries.","Indian Penal Code (IPC) <br> This primary criminal code of India covers various offenses and their corresponding punishments. Here, relevant sections are: * Murder: Defined as the unlawful killing of another human being with malice aforethought. * Culpable homicide: Killing of another person without lawful justification or excuse and without the intention to cause death. * Causing hurt: Intentionally or recklessly causing hurt to another person.",1
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Information Technology Act, 2000 (Sections 66A & 66D) - Criminalizes the sending of offensive messages through a computer or other communication devices.",1
"My neighbor's tree branches are overhanging onto my property, dropping leaves and debris. Can I cut them back?","The Indian Penal Code (IPC), 1860 (Section 426) - Whoever commits mischief shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.",0
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Easements Act, 1882 (Section 13) Where one person transfers or bequeaths immovable property to another, (a)if an easement in other immovable property of the transferor or testator is necessary for enjoying the subject of the transfer or bequest, the transferee or legatee shall be entitled to such easement;",1
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Penal Code (IPC), 1860 (Section 268) A person is guilty of a public nuisance who does any act or is guilty of an illegal omission which causes any common injury, danger or annoyance to the public or to the people in general who dwell or occupy property in the vicinity, or which must necessarily cause injury, obstruction, danger or annoyance to persons who may have occasion to use any public right.",1
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Penal Code (IPC), 1860 (Section 441): Whoever enters into or upon property in the possession of another with intent to commit an offence or to intimidate, insult or annoy any person in possession of such property, 
or having lawfully entered into or upon such property, unlawfully remains there with intent thereby to intimidate, insult or annoy any such person, or with intent to commit an offence, 
is said to commit “criminal trespass”.",0
"So, my neighbor just built a giant fence right up against my property line, blocking most of the sunlight from reaching my garden. It's practically casting a shadow over my entire backyard! I can't even enjoy sitting out there anymore. Plus, his dog constantly barks all night, keeping me awake. Is there anything I can do to make him take down the fence and quiet his dog?","The Indian Penal Code (IPC), 1860 (Section 426): Whoever commits mischief shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both.",0
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Information Technology Act, 2000 (Sections 66A & 66D): criminalises the sending of offensive messages through a computer or other communication devices..",1
"I recently ordered a new phone online, but when it arrived, it was a cheap knock-off! I contacted the seller, but they won't respond to my emails. I paid through a prepaid card, so I can't get my money back that way. What are my options?","The Consumer Protection Act, 2019, offers consumer rights and redressal mechanisms for getting a refund or replacement.",1
"After winning a lawsuit against a contractor for non-payment of dues, a homeowner seeks to recover the awarded amount through legal means. The homeowner initiates the process of executing the court's decree, following the procedures outlined in the civil procedure code.","Code of Civil Procedure, 1908 - Governs the procedure for civil cases in India, including the execution of decrees.",1
In execution of that decree the Munsif issued a warrant for the attachment of the judgment debtor's property.,"Code of Civil Procedure, 1908 - Specifies the process for executing decrees, including the attachment of property.",1
"The amin to whom the said warrant was entrusted attached, inter alia, three buffaloes and two cows, which were in the house of the judgment debtor, as his property.","Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",0
"A few months before September 30, 1960, Savitri became friendly with the appellant Varadarajan... On September 30, 1960... she asked Savitri why she was talking with the appellant. Savitri replied saying that she wanted to marry the appellant.",Child Marriage Restraint Act (1929): This act set minimum legal ages for marriage in India. Its crucial since Savitri's age is potentially under consideration within the scenario.,1
A couple from different religious backgrounds decides to marry under a civil law to have a legally recognized marriage without the need for religious ceremonies. They follow the registration procedures outlined in the act to solemnize their marriage legally.,"Special Marriage Act (1954): Provides a framework for civil marriages in India, including registration procedures. This is directly relevant as they appear to be attempting a legally recognized marriage.",1
A couple from different religious backgrounds decides to marry under a civil law to have a legally recognized marriage without the need for religious ceremonies. They follow the registration procedures outlined in the act to solemnize their marriage legally.,The Information Technology Act (2000): Deals with Information Technology related offenses and electronic transactions. ,0
"The Patna Electric Supply Co. Ltd. supplied electrical energy in Patna, Patna City and Dinapur to about 22,000 consumers, of whom about 900 were industrial power consumers.","Electricity Act, 2003 - Governs the generation, transmission, distribution, and trading of electricity in India.",1
The normal wastage of energy in the course of transmission was 15 to 16 per cent of the units generated.,"Electricity Act, 2003 - Specifies norms and standards for energy efficiency and conservation in the electricity sector.",1
"S. Natarajan went to the Nungumbakkam Police Station and lodged a complaint stating there that Savitri was a minor on that day and could not be found. Thereupon the police took up investigation and ultimately apprehended, as already stated, the appellant and Savitri at Tanjore.""","The Narcotic Drugs and Psychotropic Substances Act (1985): Regulates the production, possession, sale, consumption, and import/export of narcotic drugs and psychotropic substances. This law was enacted much later than the scenario (1960) and is not applicable.",0
"Vigorous investigations were started, and after surprise raids and inspections, it was discovered that the meters of several consumers had been tampered with... The Inspectors found that the meters of both the appellants had been tampered with.","Indian Penal Code (1860), Sections related to Theft (e.g., Section 378): This defines the offense of theft in India, which could apply if the meter tampering is done with the intent to dishonestly use the electricity without proper payment.",1
"hat between 21st October, 1959 and 25th May, 1961... both of you in conspiracy agreed to do illegal acts, namely to forge motor driving licences and to pass them as genuine one and by such illegal means to cheat various persons...""","Indian Penal Code (1860): This act defines various criminal offenses, including: * Section 420 (Cheating): Covers acts of deceiving and inducing someone to deliver property or any valuable thing. * Section 465 (Forgery): Defines and penalizes forging of documents and using them as genuine. * Section 467 (Forgery of valuable security): Specifically concerns forging of documents like licenses with intent to use them fraudulently.",1
That in pursuance of the above said agreement... Hiralal came to Ahmedabad and cheated the 21 persons... on false representation... to get valid driving licences...,"Indian Penal Code (1860), Section 419 (Cheating by personation): Specifically addresses impersonation to deceive and cheat others.",1
That in pursuance of the agreement... Gopaldas at Pali forged 21 above-mentioned motor driving licences...,"Indian Penal Code (1860), Section 465 (Forgery): Applies as mentioned earlier.",1
"That between 21st October, 1959 and 25th May, 1961... both of you in conspiracy agreed to do illegal acts, namely to forge motor driving licences and to pass them as genuine one and by such illegal means to cheat various persons...",Information Technology Act (2000): Focuses on Information Technology related offenses and electronic transactions. The scenario predates this law (1959-1961) and doesn't involve electronic means of forgery or communication.,0
"The respondent had married the appellant in or about 1948 according to Hindu rites and both of them had lived as husband and wife, together. But some time before the date of the complaint the respondent began to ill treat her, with the result that she had to reside with her mother and brother.","Hindu Marriage Act (1955): This act governs various aspects of marriage, separation, and divorce within Hindu communities. Sections related to cruelty and grounds for divorce or separation could be relevant.",1
"But some time before the date of the complaint the respondent began to ill treat her, with the result that she had to reside with her mother and brother.",The Protection of Women from Domestic Violence Act (2005): This act defines various forms of domestic abuse and provides mechanisms for a woman to seek protection. It could be a resource if the ill-treatment falls under the Act's definition.,1
